message,results,ratio,elements,numberLeft,numberRight,joinIteratorString,execution time,heapTotal diff,heapTotal total,arrayBuffers dif,arrayBuffers total,rss diff,rss total,heap diff,head total,elementsRatio
TwoHash: 100000 & 0.9,809401,0.9,10000,100000,100000,TwoHash,31.7151849800013,24.84375,82.62109375,0,0.017816543579101562,632.41015625,1250.09375,22.721778869628906,58.213645935058594,0.1
TwoHashIndexedCount: 100000 & 0.9,809401,0.9,10000,100000,100000,TwoHashIndexedCount,34.54229256899655,26.0546875,84.33203125,0,0.017816543579101562,467.83203125,1211.734375,24.53044891357422,63.20341491699219,0.1
TwoHashIndexedCount: 100000 & 0.9,90277,0.9,90000,100000,100000,TwoHashIndexedCount,34.76236078900099,49.328125,118.51953125,0,0.017816543579101562,344.84375,1136.7578125,44.33513641357422,96.06116485595703,0.9
TwoHash: 100000 & 0.9,162923,0.9,50000,100000,100000,TwoHash,36.123385872997346,34.65625,103.1875,0,0.017816543579101562,190.02734375,1037.69140625,24.212135314941406,73.17659759521484,0.5
TwoHash: 100000 & 0.9,90277,0.9,90000,100000,100000,TwoHash,36.58296437200159,42.671875,111.86328125,0,0.017816543579101562,120.453125,939.7421875,38.315765380859375,89.98275756835938,0.9
TwoHashIndexedCount: 100000 & 0.9,162923,0.9,50000,100000,100000,TwoHashIndexedCount,38.32897517200187,34.796875,103.59375,0,0.017816543579101562,-18.578125,800.7109375,24.87371063232422,74.61265563964844,0.5
TwoHash: 200000 & 0.9,1620344,0.9,20000,200000,200000,TwoHash,113.76586170899868,20.36328125,115.61328125,0,0.017816543579101562,-70.328125,935.6875,11.661140441894531,88.01909637451172,0.1
TwoHash: 200000 & 0.9,180069,0.9,180000,200000,200000,TwoHash,114.24623595899716,72.01953125,180.04296875,0,0.017816543579101562,-255.5625,835.72265625,68.75205993652344,144.52364349365234,0.9
TwoHash: 200000 & 0.9,323309,0.9,100000,200000,200000,TwoHash,114.41093358400092,57.671875,164.37890625,0,0.017816543579101562,-434.3359375,656.82421875,56.46673583984375,141.7671127319336,0.5
TwoHashIndexedCount: 200000 & 0.9,323309,0.9,100000,200000,200000,TwoHashIndexedCount,115.4505192809999,40.42578125,152.46484375,0,0.017816543579101562,-590.6015625,493.1484375,27.933563232421875,119.38378143310547,0.5
TwoHashIndexedCount: 200000 & 0.9,1620344,0.9,20000,200000,200000,TwoHashIndexedCount,118.57493703899905,1.89453125,101.31640625,0,0.017816543579101562,-691.4375,352.9609375,21.180404663085938,88.13179016113281,0.1
TwoHashIndexedCount: 200000 & 0.9,180069,0.9,180000,200000,200000,TwoHashIndexedCount,120.97900007500127,79.3203125,195.79296875,0,0.017816543579101562,-819.58984375,282.03515625,79.61019897460938,165.20108032226562,0.9
