message§results§ratio§elements§numberLeft§numberRight§joinIteratorString§execution time§heapTotal diff§heapTotal total§arrayBuffers dif§arrayBuffers total§rss diff§rss total§heap diff§head total
TwoHash: 1000 & 0.25§577§0.25§100§1000§1000§TwoHash§0,00879936§0,500000§10,0039§-0,0123186§0,0178165§6,00000§126,891§-0,454285§5,68663
TwoHashIndexed: 1000 & 0.75§5690§0.75§100§1000§1000§TwoHashIndexed§0,0253606§0,500000§10,0039§-0,0123186§0,0178165§18,0000§141,891§-0,389587§6,01860
TwoHashIndexed: 1000 & 0.25§586§0.25§100§1000§1000§TwoHashIndexed§0,0140623§0,00000§9,50391§0,00000§0,0301352§11,0000§144,016§1,02746§7,18009
TwoHashIndexedCount: 1000 & 0.25§432§0.25§100§1000§1000§TwoHashIndexedCount§0,0124503§0,00000§9,75391§0,00000§0,0301352§-5,95703§137,059§0,730614§7,08055
TwoHash: 1000 & 0.5§2390§0.5§100§1000§1000§TwoHash§0,0201202§0,00000§9,50391§-0,0123186§0,0178165§3,26953§134,910§0,461945§6,83195
TwoHashIndexed: 1000 & 0.5§2480§0.5§100§1000§1000§TwoHashIndexed§0,0143088§0,250000§9,75391§-0,00781250§0,0178165§-5,08203§138,059§0,340279§6,70734
TwoHashIndexedCount: 1000 & 0.5§2045§0.5§100§1000§1000§TwoHashIndexedCount§0,0218107§0,250000§9,75391§-0,0123186§0,0178165§-1,33984§134,301§0,127388§6,50099
TwoHash: 1000 & 0.75§5582§0.75§100§1000§1000§TwoHash§0,0288973§0,750000§10,2539§-0,0123186§0,0178165§20,1250§144,016§-0,148407§6,32280
TwoHashIndexedCount: 1000 & 0.75§5362§0.75§100§1000§1000§TwoHashIndexedCount§0,0233852§0,750000§10,2539§-0,0123186§0,0178165§0,316406§135,332§-0,135559§6,41179
TwoHash: 1000 & 0.9§7929§0.9§100§1000§1000§TwoHash§0,0167740§0,750000§10,2539§-0,0123186§0,0178165§11,2500§128,539§0,432953§6,83040
TwoHashIndexedCount: 1000 & 0.9§7889§0.9§100§1000§1000§TwoHashIndexedCount§0,0192527§0,750000§10,2539§-0,0123186§0,0178165§15,1250§149,500§0,113022§6,56333
TwoHashIndexed: 1000 & 0.9§7973§0.9§100§1000§1000§TwoHashIndexed§0,0217986§0,500000§10,0039§-0,0123186§0,0178165§24,5000§164,125§0,100838§6,50333
TwoHashIndexed: 10000 & 0.25§53506§0.25§100§10000§10000§TwoHashIndexed§0,0839179§5,25000§15,5039§0,00000§0,0178165§35,5781§190,328§0,124268§8,08764
TwoHash: 10000 & 0.25§49936§0.25§100§10000§10000§TwoHash§0,0933895§0,250000§15,5039§0,00000§0,0178165§22,1914§179,316§1,51148§9,50411
TwoHashIndexedCount: 10000 & 0.25§38433§0.25§100§10000§10000§TwoHashIndexedCount§0,101395§0,500000§15,7539§0,00000§0,0178165§41,2383§192,691§1,56207§8,55402
TwoHashIndexed: 10000 & 0.5§231680§0.5§100§10000§10000§TwoHashIndexed§0,174590§2,45313§17,4570§0,00000§0,0178165§44,3633§195,191§4,24191§12,2628
TwoHashIndexedCount: 10000 & 0.5§217272§0.5§100§10000§10000§TwoHashIndexedCount§0,192662§2,45313§17,4570§0,00000§0,0178165§38,8750§189,703§4,43163§12,5450
TwoHash: 10000 & 0.5§224643§0.5§100§10000§10000§TwoHash§0,237722§2,00000§17,5039§0,00000§0,0178165§50,5625§202,391§3,49138§11,6064
TwoHashIndexed: 10000 & 0.75§549732§0.75§100§10000§10000§TwoHashIndexed§0,274855§11,4531§26,7070§0,00000§0,0178165§107,734§283,051§2,63261§11,5509
TwoHashIndexedCount: 10000 & 0.75§539684§0.75§100§10000§10000§TwoHashIndexedCount§0,315331§10,9531§26,7070§0,00000§0,0178165§86,3516§265,168§3,83555§12,5460
TwoHash: 10000 & 0.75§541988§0.75§100§10000§10000§TwoHash§0,404862§11,0000§26,0039§0,00000§0,0178165§75,9727§260,801§5,86612§14,7479
TwoHashIndexedCount: 10000 & 0.9§813502§0.9§100§10000§10000§TwoHashIndexedCount§0,333432§12,5938§27,8477§0,00000§0,0178165§59,0664§256,957§4,03003§13,3216
TwoHashIndexed: 10000 & 0.9§817926§0.9§100§10000§10000§TwoHashIndexed§0,367591§12,5938§28,0977§0,00000§0,0178165§58,5664§243,582§5,43384§14,7112
TwoHash: 10000 & 0.9§814048§0.9§100§10000§10000§TwoHash§0,402123§11,2500§27,0039§0,00000§0,0178165§44,0313§220,922§3,84641§13,1763
TwoHash: 25000 & 0.25§311647§0.25§100§25000§25000§TwoHash§0,918863§10,7500§27,7148§0,00000§0,0178165§80,7930§328,598§-0,0109253§11,5051
TwoHashIndexedCount: 25000 & 0.25§253120§0.25§100§25000§25000§TwoHashIndexedCount§0,882710§10,9531§27,4180§0,00000§0,0178165§26,8789§307,680§5,59808§17,1245
TwoHashIndexed: 25000 & 0.25§324884§0.25§100§25000§25000§TwoHashIndexed§1,06334§10,9531§27,9180§0,00000§0,0178165§54,0273§316,957§6,97885§18,4769
TwoHashIndexed: 25000 & 0.5§1411471§0.5§100§25000§25000§TwoHashIndexed§1,32517§11,1875§28,9023§0,00000§0,0178165§85,7461§341,828§1,98618§13,9887
TwoHash: 25000 & 0.5§1388003§0.5§100§25000§25000§TwoHash§1,54159§10,0156§28,2305§0,00000§0,0178165§88,5547§340,906§2,23263§14,2836
TwoHashIndexedCount: 25000 & 0.5§1364237§0.5§100§25000§25000§TwoHashIndexedCount§1,60785§10,9375§28,9023§0,00000§0,0178165§112,469§333,141§5,79573§17,8649
