message,results,ratio,elements,numberLeft,numberRight,joinIteratorString,execution time,heapTotal diff,heapTotal total,arrayBuffers dif,arrayBuffers total,rss diff,rss total,heap diff,head total
TwoHash: 1000 & 0.25,577,0.25,100,1000,1000,TwoHash,0.007883015999570489,0.75,10.25390625,-0.012318611145019531,0.017816543579101562,4.125,124.76953125,-0.60528564453125,5.7639617919921875
TwoHashIndexed: 1000 & 0.25,586,0.25,100,1000,1000,TwoHashIndexed,0.010357483999803662,0,9.50390625,0,0.030135154724121094,5.75,126.39453125,0.8045501708984375,6.975830078125
TwoHashIndexed: 1000 & 0.75,5690,0.75,100,1000,1000,TwoHashIndexed,0.01910533900000155,0.5,10.00390625,-0.012318611145019531,0.017816543579101562,4.0234375,127.04296875,-0.16442108154296875,6.157814025878906
TwoHash: 1000 & 0.5,2390,0.5,100,1000,1000,TwoHash,0.017893933000043036,0.25,9.75390625,-0.012318611145019531,0.017816543579101562,3.6953125,130.73828125,0.4935455322265625,6.756843566894531
TwoHashIndexedCount: 1000 & 0.25,432,0.25,100,1000,1000,TwoHashIndexedCount,0.01611354000121355,0,9.50390625,0,0.030135154724121094,12.875,133.73828125,0.7301483154296875,7.079322814941406
TwoHashIndexedCount: 1000 & 0.5,2045,0.5,100,1000,1000,TwoHashIndexedCount,0.01693779900111258,0.5,9.75390625,-0.012318611145019531,0.017816543579101562,13,134.23828125,0.133941650390625,6.4351806640625
TwoHashIndexed: 1000 & 0.5,2480,0.5,100,1000,1000,TwoHashIndexed,0.019114304000511766,0.5,10.00390625,-0.012318611145019531,0.017816543579101562,14.125,134.98828125,0.29737091064453125,6.7341461181640625
TwoHashIndexedCount: 1000 & 0.75,5362,0.75,100,1000,1000,TwoHashIndexedCount,0.03465493800118566,1,10.25390625,-0.012318611145019531,0.017816543579101562,25.75,149.98828125,-0.5202865600585938,5.937934875488281
TwoHash: 1000 & 0.75,5582,0.75,100,1000,1000,TwoHash,0.03417348399944604,1,10.25390625,-0.012318611145019531,0.017816543579101562,24.25,151.86328125,-0.30452728271484375,6.089530944824219
TwoHash: 1000 & 0.9,7929,0.9,100,1000,1000,TwoHash,0.031821358999237416,0.75,10.25390625,-0.012318611145019531,0.017816543579101562,33.75,172.98828125,0.42049407958984375,6.897956848144531
TwoHashIndexedCount: 1000 & 0.9,7889,0.9,100,1000,1000,TwoHashIndexedCount,0.025304953999817373,0.75,10.25390625,-0.012318611145019531,0.017816543579101562,12.125,155.74609375,0.13481903076171875,6.645011901855469
TwoHashIndexed: 1000 & 0.9,7973,0.9,100,1000,1000,TwoHashIndexed,0.022041348000988364,0.75,10.25390625,-0.012318611145019531,0.017816543579101562,11.875,157.74609375,0.1752777099609375,6.595878601074219
